Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
Hit Man,2023,115,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.39 : 1
Bad Boys: Ride or Die,2024,115,R,100000000,112240120,56527324,2024-06-09 00:00:00,214640120,Color,Dolby Digital IMAX 6-Track Dolby Atmos,2.39 : 1
Inside Out 2,2024,96,PG,200000000,155000000,155000000,2024-06-16 00:00:00,295000000,Color,Dolby Digital Dolby Atmos Sonics-DDP Auro 11.1 12-Track Digital Sound D-Cinema 96kHz Dolby Surround 7.1 D-Cinema 96kHz 7.1,1:90 : 12.39 : 1
Furiosa: A Mad Max Saga,2024,148,R,168000000,63125707,26326462,2024-05-26 00:00:00,160125707,Color,IMAX 6-Track Dolby Surround 7.1 Dolby Atmos Auro 11.1 D-Cinema 96kHz Dolby Surround 7.1 Sonics-DDP DTS:X Dolby Digital 12-Track Digital Sound,2.39 : 1
Under Paris,2024,104,TV-MA,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,1.78 : 1
The Watchers,2024,102,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,1.85 : 1
The Fall Guy,2024,126,PG-13,125000000,87906300,27747035,2024-05-05 00:00:00,169855300,Color,Dolby Atmos IMAX 6-Track,2.39 : 1
Godzilla Minus One,2023,124,PG-13,15000000,56418793,11419975,2023-12-03 00:00:00,115857413,Color,Dolby Atmos IMAX 6-Track,2.39 : 1
Civil War,2024,109,R,50000000,68549137,25537368,2024-04-14 00:00:00,114350571,Color,Dolby Digital IMAX 6-Track Dolby Atmos,1.85 : 1
Inside Out,2015,95,PG,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,Color,Dolby Digital Datasat Dolby Atmos SDDS Dolby Surround 7.1 Auro 11.1 12-Track Digital Sound D-Cinema 48kHz Dolby Surround 7.1 D-Cinema 96kHz 7.1 D-Cinema 96kHz 5.1,1.78 : 1
Dune: Part Two,2024,166,PG-13,190000000,282144358,82505391,2024-03-03 00:00:00,711844358,,,
Kingdom of the Planet of the Apes,2024,145,PG-13,160000000,157804082,58400788,2024-05-12 00:00:00,374504082,Color,Dolby Digital 12-Track Digital Sound Dolby Atmos IMAX 6-Track Dolby Surround 7.1,2.39 : 1
The Strangers: Chapter 1,2024,91,R,0,0,0,1900-01-01 00:00:00,0,,,
Munjya,2024,140,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Challengers,2024,131,R,55000000,49721674,15011061,2024-04-28 00:00:00,142021674,Color,Dolby Digital Dolby Atmos,1.85 : 1
Deadpool & Wolverine,2024,127,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos IMAX 6-Track Auro 11.1 12-Track Digital Sound D-Cinema 96kHz Dolby Surround 7.1 DTS:X Dolby Digital Dolby Surround 7.1,2.39 : 1
The Bikeriders,2023,116,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.39 : 1
Mad Max: Fury Road,2015,120,R,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,Color,Dolby Digital Datasat SDDS Dolby Atmos,2.39 : 1
Anyone But You,2023,103,R,25000000,88319668,6000344,2023-12-24 00:00:00,220033573,,,
The First Omen,2024,119,R,30000000,20092802,8353710,2024-04-07 00:00:00,53845880,,,
IF,2024,104,PG,110000000,100901432,33715801,2024-05-19 00:00:00,173501432,Color,Dolby Digital D-Cinema 96kHz 7.1 Auro 11.1 Dolby Atmos 12-Track Digital Sound Dolby Surround 7.1,1:1.85 DCP flat
Am I OK?,2022,86,R,0,0,0,1900-01-01 00:00:00,0,,,
Kinds of Kindness,2024,164,R,0,0,0,1900-01-01 00:00:00,0,Black and White Color,Dolby Digital,2.35 : 1
The Ministry of Ungentlemanly Warfare,2024,120,R,60000000,20535053,8913698,2024-04-21 00:00:00,26353603,Color,Dolby Digital,2.39 : 1
Atlas,2024,118,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos,2.35 : 1
Godzilla x Kong: The New Empire,2024,115,PG-13,135000000,196350016,80006561,2024-03-31 00:00:00,567650016,Color,IMAX 6-Track Dolby Digital Dolby Surround 7.1 Dolby Atmos,2.39 : 1
Bad Boys for Life,2020,124,R,90000000,206305244,62504105,2020-01-19 00:00:00,426505244,Color,Dolby Atmos,2.39 : 1
MaXXXine,2024,103,R,0,0,0,1900-01-01 00:00:00,0,,,
Alien: Romulus,2024,0,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Bad Boys,1995,119,R,19000000,65807024,15523358,1995-04-09 00:00:00,141407024,Color,Dolby SR SDDS Dolby Atmos Dolby Digital,1.85 : 1
Horizon: An American Saga - Chapter 1,2024,181,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital Dolby Atmos,1.85 : 1
The Garfield Movie,2024,101,PG,60000000,78524610,24006629,2024-05-26 00:00:00,217724610,Color,Dolby Digital Dolby Atmos D-Cinema 96kHz 7.1 Dolby Surround 7.1 Auro 11.1 12-Track Digital Sound DTS:X,1.85 : 1
I Saw the TV Glow,2024,100,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos Dolby Digital,1.85 : 1
Brats,2024,92,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Paddington in Peru,2024,0,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
The Idea of You,2024,115,R,0,0,0,1900-01-01 00:00:00,0,,,
Venom: The Last Dance,2024,0,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Oppenheimer,2023,180,R,100000000,329862540,82455420,2023-07-23 00:00:00,975045189,,,
Abigail,2024,109,R,28000000,25867515,10297110,2024-04-21 00:00:00,42016782,,,
Wonder,2017,113,PG,20000000,132422809,27547866,2017-11-19 00:00:00,315025930,Color,Dolby Atmos Dolby Digital Dolby Surround 7.1,2.39 : 1
Presumed Innocent,1990,127,R,20000000,86303188,11718981,1990-07-29 00:00:00,221303188,Color,Dolby Stereo,1.85 : 1
Dune,2021,155,PG-13,165000000,108897830,41011174,2021-10-24 00:00:00,407573628,Color,Auro 11.1 Dolby Surround 7.1 Dolby Atmos Dolby Digital IMAX 6-Track,2.39 : 1
Poor Things,2023,141,R,35000000,34553225,661230,2023-12-10 00:00:00,117625455,Color Black and White,Dolby Digital,1.66 : 1
Space Cadet,2024,0,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
In a Violent Nature,2024,94,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Late Night with the Devil,2023,93,R,0,0,0,1900-01-01 00:00:00,0,,,
The Iron Claw,2023,132,R,15000000,35070296,4868370,2023-12-24 00:00:00,45200720,Color,Dolby Digital,1.85 : 1
The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,PG-13,100000000,166350594,44607143,2023-11-19 00:00:00,337371917,Color,DTS Dolby Atmos IMAX 6-Track Dolby Surround 7.1 Dolby Digital 12-Track Digital Sound Auro 11.1 DTS:X D-Cinema 96kHz 7.1,2.39 : 1
X,2022,105,R,1000000,11765309,4275126,2022-03-20 00:00:00,14740889,Color,Dolby Atmos Dolby Digital,1.90 : 1
Love Lies Bleeding,2024,104,R,0,0,0,1900-01-01 00:00:00,0,,,
Practical Magic,1998,104,PG-13,75000000,46732881,13104694,1998-10-18 00:00:00,46733235,,,
Nocturnal Animals,2016,116,R,22500000,10663357,492648,2016-11-20 00:00:00,30311857,Color,Dolby Digital Dolby Atmos,2.35 : 1
Chandu Champion,2024,142,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Tarot,2024,92,PG-13,8250000,18632865,6503012,2024-05-05 00:00:00,45604127,,,
Top Gun: Maverick,2022,130,PG-13,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,Color,Dolby Atmos Auro 11.1 IMAX 6-Track 12-Track Digital Sound Sonics-DDP,2.39 : 1
Road House,2024,121,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.39 : 1
Twisters,2024,122,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos,2.39 : 1
A Quiet Place: Day One,2024,100,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital Dolby Atmos IMAX 6-Track,2.39 : 1
The Boys in the Boat,2023,123,PG-13,40000000,52641306,8400548,2023-12-31 00:00:00,55481773,Color,Dolby Digital,2.39:1
Madame Web,2024,116,PG-13,80000000,43817106,15335860,2024-02-18 00:00:00,100298817,Color,IMAX 6-Track Dolby Atmos,2.39 : 1
The Lord of the Rings: The War of the Rohirrim,2024,130,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Bad Boys II,2003,147,R,130000000,138608444,46522560,2003-07-20 00:00:00,273340010,Color,DTS Dolby Digital Dolby Atmos,2.39 : 1
